name	pc1	pc2	pc3	pc4	std
ACESAC	-0.06187627404312383	0.10682805884861377	0.23013174467532205	0.0752857672247144	1.224837390097251
AGAGAQ	0.08174739413297968	0.16282189924283236	0.20139773033285377	0.06628764271400941	1.3390901802491273
AMOJUH	0.014450503454664315	-0.0767233562363754	0.17099166231112592	-0.036277382307035075	1.436497560636384
AMOKIW	-0.14489911903713493	0.22013782939378065	0.15863708669699236	0.048257961844556184	1.05481579353722
AMOMOE	-0.007186134347680647	0.13771653380550491	0.20787234185300374	0.010896877454406515	1.2806833986564619
AMOSIE	-0.19170826883788197	0.11592279138795715	0.1680243802760989	0.06037474880739812	1.0517289855653023
AMOYEG	0.2130563931330367	0.013698229557548191	0.1390169825499777	-0.02697839082878895	1.5727362859459584
AMOZEH	-0.04385630469263978	0.10116934229997253	0.006981231945179668	0.03899490176411168	1.1269107536151601
AMUCAM	-0.1482002639676973	-0.08027960404514296	-0.5759169915908267	0.18664124098503163	0.9895789317413053
AWUSIX	0.15163033707533374	-0.15200430715075802	-0.21955619242656488	-0.02366012956251414	1.4155182178962304
BAPPIR	-0.6442250003293789	0.04809731902167666	-0.324542668665753	-0.17814742929919042	0.9808551901062421
BAVWAY	0.2646932254183401	-0.15529140415473763	-0.10957989396544729	0.003877689446062144	1.5420813877232282
BAVWIG	-0.1546043142164934	0.20228384135788005	-0.084919220982379	-0.047699001025814376	1.026779042751077
BAVXAZ	0.3161410276060934	-0.17686359817902933	-0.1842804554331482	0.04358836422837211	1.5544346093847543
BEWREA	-0.8155535466171033	0.028897119192754134	-0.30305975987341605	-0.14844179143537345	0.923738478303585
BEWRIE	-0.5582485188637968	-0.11810072695849916	-0.3292549921107211	-0.07856180766168815	1.0016916158173386
BIWJEX	-0.6140612776106541	-0.06437727724521694	0.3260390839280452	0.1232008546260309	0.8906351094273022
BOJLIV	-0.06416569523530442	0.012424047775137571	-0.21047057033579156	-0.09482108340151148	1.2058698387723252
CEPHUA	-0.13143502976327315	0.2626770461616059	-0.22106650712962483	-0.13816725527224438	1.0684402174610146
CHBPTC	-0.08652075572601123	0.07456676845198217	-0.084923681986787	-0.08988168881017694	1.1824864050565222
CIYHUQ	0.15515729182629565	-0.07499346935823666	0.0155304678846627	-0.1331100402762259	1.5806498159560811
CIYJAY	0.15406562410353036	-0.06418297169270681	0.004663118793629338	-0.1336878293537447	1.5672837517136908
COKZAD	-0.2236077986171528	0.18085566523948055	0.029494260612302467	0.02430443834582721	0.9467098159998778
CUHXUY	-0.09668242734400505	-0.06060874695251036	-0.17004464202827346	-0.14714225327777763	1.27878342433955
DAJWIX	-0.33513776093977965	0.305265828705463	0.02900257313732226	0.025165397756828075	0.8276303209441518
DAJWUJ	-0.3438880428635525	0.2923172813655098	0.03486495480297712	0.02965282321502121	0.831231867644882
DESGUD	-0.1576288981897036	0.10881893286399834	0.21790012938955475	0.05780216853273015	1.1298390897358537
DEXTEH	0.1821088767062254	-0.055437237251488074	0.2537420059418496	-0.01798146110759149	1.689271420339872
DIHBIG	-0.10515240258989525	-0.013862992658008522	0.15763739965995402	-0.08840730511154629	1.3251523888147685
DIHCIH	0.09675835897268197	-0.005084034014553854	0.1531821288270584	-0.06717816946298434	1.5205946514506616
DIHCON	0.06288461797086363	0.11634279858521099	0.0511522942685171	-0.03794259617072246	1.3297838790270404
DOFLEP	0.27467406595874266	-0.2027394937712161	0.05852196141898492	-0.015578339349152797	1.719935917344765
DOLBUB	-0.1472684266353537	0.17502322817805133	0.1532815600109661	0.03564675779069385	1.078623419680643
DONSUV	-0.19490531822062218	0.1615859539581031	0.1850399746458442	0.030061201306347013	1.0571844317463446
DORMUS	-0.41407639394241036	0.4890021108954937	-0.09051921610309727	0.015321149687696349	0.7224758926607638
DORNAZ	-0.28019532658187524	0.43995638238230245	-0.15032632601500096	0.006191860103010644	0.801457750067651
DORNED	-0.3901349887847375	0.3337444789902804	-0.057486038374505985	0.03540760811046864	0.7762775755641856
DORNIH	-0.380504653814607	0.3271838995067233	-0.05801434231360803	0.043182071360494664	0.7799167307683997
DUCRAU	0.16454002143088498	-0.19974011502547753	-0.3163565879918332	0.06195257541979571	1.382353884552817
EGAWEQ	0.4058580555796131	-0.18645515354473208	0.11946416640491264	-0.09078013744297934	2.024207270088402
EGAWOA	0.39016914439743244	-0.18785355542922114	0.08930730099798781	-0.04990779537855018	1.9261998064581964
ERAREW	0.3339605962135045	-0.24411162483647858	-0.04516286493569724	0.09467526171528631	1.6555032757016486
ERARIA	0.011943869230361762	0.03884323818540165	-0.267822606860961	0.13799443898023703	1.0519969715356585
EWOFUU	0.07988643197589328	-0.24124909806625802	-0.013617028142800006	-0.007336062739388442	1.4451725908395447
EWORAM	0.08097225835976257	-0.2437684352960593	-0.013538186362413131	-0.0014741683078384417	1.4390897033387717
EWOROA	0.1493296111262679	-0.24655988587286906	-0.010080785865070134	0.0006624383941643882	1.5235872371829633
EWOSAN	0.1858144332239925	-0.25319889038007204	0.03762143880526703	0.08799889844929143	1.5390678236800361
EWOSIV	0.18105547829889165	-0.2291878561793407	0.03672058033676202	0.08034028721672912	1.531504059117052
EWOSOB	0.1497351480090589	-0.1689381492298017	0.06401659858872898	0.028126887683146487	1.5216200607091426
EWOTIW	0.14713450052871466	-0.18410180621696567	0.016178853439699575	0.04122305395588513	1.4813504094229777
EWOTOC	0.5144720886950443	-0.04181223142421447	-0.0016782500715556417	-0.22020185109863327	2.19025612550057
EXIWOX	0.11780258722373194	-0.19859106945615748	-0.15533106991489826	0.10423886733360024	1.3193976506422795
EYAZIO	-0.12529575958565872	0.16323529930112263	0.14188143514568333	0.07126970186472545	1.083877551613564
EYEQII	0.27234075119619106	-0.23683799060829933	-0.11680939651720883	0.1661690927090328	1.4639537559879796
FAPTEW	0.10588835727802934	0.07033863366089313	0.19591712621066618	-0.004690917956427443	1.4704217104828348
FAQQOE	0.3145002666614469	-0.24287877316734885	-0.04669624423914855	0.06432292655428583	1.642219704458188
FEBYIX	-0.31963944444015796	0.33769092089161457	0.03189539639652279	0.03570993647699269	0.8266285869407926
FEVFIZ	-0.23446182903656415	-0.07451189708837248	-0.5415202971473874	0.14268127621313895	0.9760737193172085
FIKQEZ	0.31737555532558565	-0.07269136184286766	0.11976655684711482	0.023539082612811884	1.699053990767786
FIKQID	0.38403016821003333	-0.1477020923182956	0.020197303396578888	0.004275909941832824	1.758539441334369
FIKQOJ	0.2946354132692393	-0.07528525254452322	0.009922526419240378	-0.010430679151989676	1.620991530581908
FIKQUP	0.35459201437090665	-0.06082465529832584	0.010942255956130489	-0.006198309663116091	1.6862618065945838
FIPPUQ	0.17112435810682097	-0.15929454065613116	-0.12169328368309391	-0.012886027780179957	1.4476920325795772
FIRVUX	-0.04420326502462777	0.2511526109400304	-0.12282839586344686	-0.08425279933667636	1.1148857751884294
FISCIT	-0.050179087510395154	0.1170568024614381	0.26358038728477073	0.054350814041603544	1.2573508531200734
FONNIF	-0.36967498645088975	0.3677274450687398	-0.06308681107816658	0.02001474497358253	0.7747122827983608
FOPBER	0.16024563869972178	0.008880477993176974	0.11411362083723128	-0.10613046772154343	1.57856322715333
GAYNEZ	0.11325067835694719	-0.06767709949960875	0.031874282332415856	0.005250103891475398	1.420077759379705
GEBFOI	-0.09118822663546904	0.1597010329912896	0.1443846953785851	0.04717647433423468	1.134800901229381
GEBFUO	0.1240578173392084	0.3109764567779444	0.16080988515405922	0.04745959561282962	1.3216184209442183
GEBLOO	0.0018804346452125297	0.1305319944413206	0.1699959069587082	0.08080157057131383	1.2227483552297564
GEPGOZ	-0.044303134090099776	0.2542318406063728	0.1775544546596715	0.07389590923995719	1.1512193787820775
GEPGUF	-0.04477892466440826	0.07626897049978554	0.3163761039911526	0.10154234605248716	1.3299673643902075
GIZGUR	0.04856686250634589	-0.1296073976484807	-0.22910781193985433	0.06505772718391341	1.227405363594708
GOFZAC	0.1262886179467977	-0.04087903873224198	0.003040534848387788	-0.07126415653606122	1.4628878871314637
GOGQIC	-0.027331417313188146	-0.022484272212613135	0.062340685451566194	-0.009808546375901677	1.2655849774665482
GOZHEI	0.1868430770208363	-0.17198093998727224	-0.206935604878732	0.04283028153296583	1.4062585255069242
HAQKOD	0.21220963996266276	-0.29366284251708896	-0.017612685142292826	-0.01658317074890438	1.6282670487029811
HAQLOE	0.14661156913428874	-0.1833562521443426	-0.025337208001945326	0.05238634847368872	1.446200827122638
HAQLUK	0.1568456386829909	-0.18227330010535278	0.017164691477501527	0.05952144151904707	1.4823415177127492
HATPOH	-0.5058378206526357	0.05587181819391738	-0.17654278953485775	-0.16419682875490274	0.9611681621899368
HUKBUK	0.3499639002203586	-0.03073587068071448	0.039061423991655284	-0.10733674706420442	1.7808425714293847
HUKCAR	0.07927866470219644	-0.012442880630470226	-0.008653091599306235	-0.10885019815569547	1.424103701770436
HUKCEV	0.16057995805315783	0.002298329822891335	-0.13613342486092622	-0.1024739297252467	1.462162223020499
HUYROI	0.20119347679152963	0.028094928196291835	0.1279003020325126	-0.019757907228018404	1.5446472040827843
HUYSAV	-0.05818987775205291	0.09727442311540152	0.010730838817829918	0.033876585908798044	1.1218957813423596
HUYSEZ	-0.013877505426008825	0.10268223309534825	0.020783639562326196	0.038621932316486196	1.1591898217826737
