name	pc1	pc2	pc3	pc4	std
ABEMAX	-0.023684152048751628	0.5579965794317212	-0.5149898540932139	0.2982788123643944	2.3290112659634503
ABIHUO	0.3962512375002314	-0.33463271155958163	0.6876994641066859	0.1725451715685065	1.6154634457773742
ABIJEA	0.39407982312897527	-0.31276827032618093	0.6436113623188664	0.16784368694921192	1.6663574597104294
ABISOV	0.45824422326738024	-0.718930288886618	0.18034588209582705	0.019844560899208594	1.6339274549030955
ABITEM	0.4590883821497975	-0.7209908925457829	0.16888760058765934	0.019681348061316037	1.6277194921637923
ABIVAK	0.4585540465574578	-0.7193996012810442	0.17974129380636739	0.01780211760158254	1.6354549687778772
ABUTIE	-0.1206856885991523	0.435782942791803	-0.49277155540660833	0.3432199618968537	2.102300541061365
ACAJIB	-0.01104310232073935	0.0865463276849136	0.38340534572120477	-0.06732035829150938	1.7181063074256333
ACAZFE	0.3419736555914703	0.025304433773973956	0.6694827843971587	0.05918511358113682	1.9236541006671168
ACECUK	0.3350714298447812	-0.00442306775644917	0.6531486970465337	0.01759174032297864	1.9295430575086119
ACELUT	-0.09680467064816822	0.22876896792826173	-0.1030973262806339	0.1787493462619869	1.739340407789164
ACISOU	0.34977667898500897	0.16470097481703128	-0.08421313698540595	0.07077823549271059	2.2629767376379664
ACNCFE	0.04204219884928451	-0.24938667157147873	0.48977763010983394	0.07252404682763683	1.5385784807918808
ACODUR	0.19846213094392562	0.10853874487151924	0.4286146193002011	0.13033376634500765	2.005154834350366
ACOFAZ	0.45890893423903467	-0.040460569544084196	0.6548583176918361	0.11946135848147546	2.0895920116455033
ACOHUZ	0.30099356562227886	-0.11666815468145351	0.02052732613497152	0.21152035443048867	1.6985456607239318
ACOMUA	0.3468388152793018	0.01069174807903503	-0.11661601731950635	-0.0980111519676702	2.043546238690308
ACUZII	0.19234097810286643	-0.9486120794211836	0.2954206351375871	0.5866674424029645	1.1369688998664933
ADAQUU	0.7089835255929975	-0.6679456366696082	-0.027600673291708747	-0.053106025265587886	1.8411746935496136
ADAREF	0.7327789685351007	-0.6674435937110688	-0.029264093496768825	-0.045517723019835435	1.8466006905049563
ADAREG	0.11280027759420852	0.09648360661485059	-0.5019121088475021	0.16801149146274233	1.834272417342084
ADAROQ	0.13874222274036185	0.3412167194942282	-0.4679014610323633	0.3154156824848814	2.1874638316259962
ADEKUS	0.30029753382522806	-0.2509567560400946	-0.23465626840491471	-0.097598237082064	1.7454781147162253
ADEMII	-0.12972213777883068	-0.1287028337209419	-0.40607394915637285	-0.015093686996339832	1.3615415193476732
ADEMOO	0.232022798798043	-0.21625152035898604	-0.2741151014587263	-0.06914040474570056	1.7499432448083652
ADEZIW	0.559085606866252	-0.26860992482738866	-0.2079899234842622	0.2365613407306461	1.9494198149171034
ADIGAV	0.6504288297580487	0.638951414235611	-0.0463136206626335	-0.23836065586290578	3.8611627650339555
ADILIL	0.31351316222384273	0.05852738834521318	0.20141037980858145	-0.05972813011769159	2.1291035603828785
ADISIT	-0.07795441103733047	-0.05157591130753554	0.3802186177073568	0.06065196497671599	1.5408736544882302
ADIZIW	0.5830489591466703	0.11017044571888171	0.5537283330104226	0.09077404762916114	2.4564015938231285
AFAQIJ	0.42599847154901216	-0.18646696713276306	0.09715200311375877	-0.09787249745767812	1.9669256333503176
AFAQOP	0.3786687507599842	-0.09207729987414572	-0.011175094719700226	-0.1527527861069391	2.0682077927868523
AFAREG	0.38333574563310613	-0.12694020750497592	0.01581644769858398	-0.14188123610709785	2.0155427360747
AFEKOP	0.10792454595503731	0.016485341498778422	-0.3944636591709083	0.17878182128099002	1.671889831741046
AFELOM	0.5561231482603839	0.13021583120679098	0.6282720298963518	0.10966334013859458	2.247161581566177
AFEZOC	0.13355868364689982	0.08768690901433665	-0.15832146310588469	0.4596477068198804	1.6156169445859194
AFEZUI	0.08349779117225964	0.04750081240205531	-0.3992169445059316	0.7414430839803294	1.6889721565077485
AFIBAU	0.6310301889019492	-0.0034167057978160414	-0.17806599892328384	0.09389089107353862	2.1624590288487933
AFORAO	0.32596725796242776	0.16157987716645067	0.6631688531818231	-0.02330501935314399	2.1253966521364767
AFORES	0.29362376843450644	0.2091977007147497	0.6408257770487272	-0.03926729387685886	2.1595509537128574
AFORIW	0.2658391162710112	0.2315744242788781	0.6094742991815819	-0.02211063290094751	2.1287853676702397
AFOROC	0.29572825354147714	0.2055906063849674	0.6378488643277148	-0.033170173203171706	2.155338419984194
AFOTUO	0.18811892414992304	0.16519951827517954	-0.37812506643641064	0.04926914727974645	1.9420986765447514
AFUGIS	0.07058548974218093	0.5957921974012785	-0.31069751193382306	0.44260394163370004	2.4835613361492213
AFUTEB	0.5974626218257093	-0.6387531803597444	-0.504042750542164	0.4239161296582414	1.3148710908592212
AFUYAD	-0.06115890143830249	0.7281917214005829	-0.13559403504095693	0.12576098540367592	2.696277625743135
AGAWUB	0.37554313117189064	-0.29646546482520414	0.0187769422743779	-0.03849023873389848	1.779889988021284
AGAZUE	0.5051854359335302	0.05676965394829542	0.2804966558933357	0.10910053383495269	2.1655450005902503
AGEDEV	0.4113246598777627	0.2925276593165965	-0.3773140134105625	-0.37602327764845406	2.8195125667064453
AGESOV	-0.022819454788831184	-1.3524430926008215	-0.28477318836668225	0.5527093397103688	1.305505880814868
AGISER	0.2066959959592416	-0.15875032659825938	-0.4706225086566397	-0.1256389667841239	1.847644525489283
AGIZEX	0.47893353080728396	-0.7686810353362168	-0.01846393621400949	0.0005583922674002595	1.5429304783622972
AGUDIQ	0.5890418475895842	0.2815508663755536	-0.15811597614753897	-0.49026118053658574	3.2622427693568534
AGUGEO	0.4268391075962885	-0.3339552407168844	-0.26885105475645205	-0.11839461191625497	1.919999791270915
AGUYUW	0.5480467226119368	0.1563601474896355	0.028652503610045323	-0.28024814914874274	2.8659701213922206
AGUZAD	0.5061372101504835	-0.18186520079910642	-0.12789504193632079	-0.39112825317556527	2.252644639213347
