name
2_PUF2b_1_3
4_CO1_Acac1_PUF2_1_3
4_Acac1_CO1_TEOA1_0_1
4_Acac1_CO1_TEOA1_0_3
4_Acac1_TEOA2a_1_3
4_Acac1_TEOA2b_1_3
4_CO2_PUF2_1_1
4_PUF2a_0_1
4_PUF2b_1_1
4_TEOA2_Acac1_CO2_1_3
4_TEOA2_aka4_3_0_3
5_Acac1_CO1_PUF2_1_1
5_Acac1_CO2_TEOA1_1_3
5_CO2_PUF2_1_3
5_PUF1_Acac1_TEOA1_1_1
5_TEOA2_Acac1_CO2_1_1
6_Acac1_CO2_TEOA1_1_1
6_Acac1_TEOA2a_1_1
6_Acac1_TEOA2b_1_1
6_TEOA2_1_1
6_TEOA2_1_3
6_TEOA2_aka4_3_0_1
6_TEOA2a_1_3
6_TEOA2b_1_1
