name	pc1	pc2	pc3	pc4	std
ABASUR	-0.14223085987100204	0.25057726783933854	0.1877730014462462	-0.0414208037703344	8.740098167143802
ABATEC	0.22346908946663335	-0.10881842341109968	0.05886814751287445	0.0410774865940923	9.561241083455933
ABATUS	-0.06962147659983442	0.16489202622695903	-0.052573213862796675	0.03619626505863527	8.851782135615304
ABERUU	-0.0029176766783489683	-0.05761799914577398	0.029340339110652647	-0.059269564272363996	9.578248819941763
ABESAB	-0.013320720080407078	-0.060323101201101306	0.018018495959998104	-0.07044309942153207	9.613684133804393
ABESEF	-0.024489421678352663	-0.08164201541976042	0.04701653520940596	-0.06375871038028266	9.636273972298326
ABEWOT	0.09787002676558831	-0.020836659563562482	-0.11385972791268059	-0.07189630222226674	9.61741797160564
ABEWUZ	0.10206623468156639	0.0026227489751055044	-0.10980565363439365	-0.036198319397369415	9.48614096810191
ABEXAG	0.20414933915393219	-0.026579529492621684	-0.16516986388405264	-0.0318349282936068	9.698176185050377
ABEYEL	0.007293025371843509	-0.1712348599513116	-0.03876118844215892	0.009455035969303402	9.73986988076504
ABEYIP	0.10956702056716994	0.03766948780402593	-0.07801128014276601	-0.0697194334778289	9.42372395131479
ABEYUB	0.1458353114403934	0.21578269728708543	-0.010470006684516087	-0.02671426852677332	8.87372415211392
ABEZUD	-0.16715612865955265	-0.05335836960948276	0.17991104751643439	-0.08792680553103846	9.55654370230616
ABIBAP	0.005183904211657264	0.17996488694374352	0.19910455749266298	-0.03166054904652336	8.817306526278049
ABIKAY	0.0031492977836466984	0.06651864563530227	-0.08516676415968832	-0.11664783707353113	9.463187564649363
ABIRIO	0.4397253255296385	-0.15779080910631152	-0.23120605725115773	0.0309538914199112	10.36390765564813
ABIROU	0.43876875865754483	-0.09398560536646126	-0.24898548942752632	0.006561173828391553	10.222287500200476
ABISAH	0.42499122012991775	-0.1256643052925045	-0.2034177164519519	0.02122595471365485	10.20985346716649
ABISEL	0.6735906779583583	0.6001882635380116	-0.392433224648135	-0.04091855316197602	9.362822178637533
ABOCEZ	-0.10431246900188729	0.08658222599405879	0.16808187552604914	-0.038906732122744835	9.124475019946841
