energy intensity
5.600000000000000533e+00 -2.628181115253843680e-01
5.650000000000000355e+00 -2.652222225087975671e-01
5.700000000000000178e+00 -2.875279900461170657e-01
5.750000000000000000e+00 -2.604891480463486508e-01
5.799999999999999822e+00 -2.163537496942678495e-01
5.850000000000000533e+00 -2.212461269418424525e-01
5.900000000000000355e+00 -2.116191553815030546e-01
5.950000000000000178e+00 -1.817814646144330637e-01
6.000000000000000000e+00 -1.354171828234041752e-01
6.049999999999999822e+00 -1.154599820101524787e-01
6.100000000000000533e+00 -1.110187886536541657e-01
6.150000000000000355e+00 -2.156654799074985557e-02
6.200000000000000178e+00 -1.143452981500776150e-02
6.250000000000000000e+00 8.664944627865284188e-02
6.299999999999999822e+00 1.184155967473780324e-01
6.350000000000000533e+00 1.484711723349093626e-01
6.400000000000000355e+00 1.785762605059956765e-01
6.450000000000000178e+00 2.070664943633521993e-01
6.500000000000000000e+00 2.502018183846973498e-01
6.549999999999999822e+00 2.556773080410357224e-01
6.600000000000000533e+00 2.146530666149030486e-01
6.650000000000000355e+00 1.857114016938826162e-01
6.700000000000000178e+00 1.783918102904563097e-01
6.750000000000000000e+00 2.071015161823037964e-01
6.799999999999999822e+00 1.834492438031350980e-01
6.850000000000000533e+00 1.635501659944880171e-01
6.900000000000000355e+00 1.628073038628051472e-01
6.950000000000000178e+00 1.347909000799371870e-01
7.000000000000000000e+00 1.319258616794715955e-01
7.049999999999999822e+00 9.829445387650524724e-02
7.100000000000000533e+00 1.011406021236988945e-01
7.150000000000000355e+00 1.455536152515091164e-01
7.200000000000000178e+00 1.407377075893607721e-01
7.250000000000000000e+00 1.605031372681128832e-01
7.299999999999999822e+00 8.179709851308830659e-02
7.350000000000000533e+00 6.097237225455390958e-02
7.400000000000000355e+00 5.477357630744449091e-02
7.450000000000000178e+00 -4.590533776808853467e-02
7.500000000000000000e+00 -5.885931950457336942e-02
7.549999999999999822e+00 -8.119206040562296223e-02
7.600000000000000533e+00 -1.075199901133996189e-01
7.650000000000000355e+00 -1.503958979603780555e-01
7.700000000000000178e+00 -2.046186152024236371e-01
7.750000000000000000e+00 -1.760181828255648895e-01
7.799999999999999822e+00 -1.610016403492100789e-01
7.850000000000000533e+00 -1.658661155764410700e-01
7.900000000000000355e+00 -1.707454764473225750e-01
7.950000000000000178e+00 -2.102062645788076722e-01
8.000000000000000000e+00 -2.156578823624205610e-01
8.050000000000000711e+00 -1.280379106548781010e-01
