name	pc1	pc2	pc3	pc4	std
ABAFOZ	0.18424335447430673	-0.010941983516063833	0.08612005053734997	0.010937377860107678	4.268088668759631
ABAFUF	0.3402710906328328	0.136199739918346	0.043882112520073346	0.08616397123334736	4.554918730124
ABAGAM	0.3047940735797967	0.10610067382477947	-0.03156193965212008	0.06351860008224483	4.485353766038189
ABATIK	0.037715152722716194	-0.1529372898413284	-0.07434454265740716	0.010284941928519559	4.209054214731153
ABATOQ	0.03665413366947057	-0.1453644365935596	-0.07321494312368768	0.011689382687022368	4.193014406834814
ABAZEK	0.29729999108652017	-0.03111693834238735	-0.05268970479660875	-0.04049777474434224	4.583654954714984
ABAZIO	0.20361848078114964	0.07065346411180912	-0.11239060499228375	-0.018839126233266335	4.2609475025183805
ABETUZ	-0.03507713326460138	-0.0806489890881846	0.07957499588102959	0.029179500873265637	3.817520102539719
ABEVAH	0.029112280469555607	-0.0956996621937442	0.08091995308428579	0.00647944602733945	3.957305302813348
ABEVEL	0.027158320304010886	-0.10247231467507348	0.07929334707801886	-0.0019416890482139154	3.95821106138281
ABIDIB	0.3446108640603138	0.15117946420893752	0.05749531237033037	-0.10095916414218559	4.360695967655629
ABIFAV	0.3201121193401595	0.15156531926621591	0.06879019433554998	-0.08631721216936031	4.299594341552535
ABIFEZ	0.3489741822072352	0.1916098514430647	0.06295383470649324	-0.0888893776532522	4.330554416638713
ABIWUE	0.16869747479702601	-0.004094373995200878	0.03190404797070717	0.06137178826365519	4.245698676028858
ABOFAZ	0.32280607849619614	0.0489818866102639	0.008695082310980873	0.015704145090097182	4.554553842281866
ABORIV	0.08046416078806029	0.14871025416176747	0.012944986413385137	0.06391482348810612	3.831052773891274
ABUCAC	0.14549059714169532	0.01901331101577719	-0.012711924951719855	0.06033155620664406	4.167563752565814
ABUWEZ	0.24335546972281596	0.14777881334308135	0.012122572575604451	0.05224486661178966	4.19669273647685
ABUYAX	0.27240808508583125	0.022441050025452325	-0.0214227311802047	0.01352349892723373	4.44422771459092
ACALOI	0.3306976704588056	-0.0543248886417754	-0.05255254958420158	-0.1693495121725711	4.641156829990437
ACAWOR	0.19092885184199115	-0.036503060040814175	0.007008882812564163	-0.034948400796917134	4.252655090329921
ACEJOJ	0.13460320361300449	0.1414458635690165	-0.009885847757995725	0.09465473503992348	4.012031447670126
ACITUB	0.17831870691011842	-0.08691976503857343	0.061334497406156735	0.05195064346755622	4.359644227161077
ACIVIU	0.2338101041020777	-0.00036335736753626	0.033131288391278046	-0.08607441316144601	4.284500572457284
ACIVOA	0.1975065398757896	0.025349601601605154	0.020896239968896807	0.013438111762685556	4.217855761653754
ACIWER	0.23765913090167645	-0.006862831047338203	0.06981802490138181	-0.07595049201566048	4.291059919009484
ACIWIV	0.2914126696780013	0.01841541962363133	0.033486189853130705	-0.11432901721660133	4.390789394777355
ACIWUH	0.18813469243233927	-0.19485225986631238	-0.04895071579037749	-0.050220739260667724	4.578375217141458
ACOBEA	0.2274633966206432	0.05089239375244983	0.03179816684401496	-0.09411405611934004	4.182404276409053
ACORUI	0.15953061286959702	-0.09037239767663452	-0.04377645460499012	-0.04523877023549966	4.333571344470675
ACOSAP	0.17473477428699846	-0.09623579533173082	0.011086565044867283	-0.05534546854749389	4.315824791067287
ACOSOD	0.16236141949889182	0.005194915966040631	0.04990847790895242	-0.022339141372295174	4.084662258489855
ACOWIA	0.0021344728661798484	-0.14807524225676102	0.16672216348308527	0.0194117758454439	3.9465539010779715
ACOWUM	0.10828490590664996	-0.06791897852460607	0.09450197566049931	0.005579536291731552	4.084610711846908
ACTBPD	0.36260910051122197	0.012930360315135309	-0.06082566404223077	-0.015207612349693284	4.736750439917455
ACUCAD	0.2583028184749723	-0.008104100939428843	0.14011236951511688	0.12564606442077175	4.513244506580173
ACUSAS	0.4186126033868569	0.19011928507200898	-0.03039696734941684	0.04874841117966966	4.686372733184442
ACUSUP	0.1377187795689525	-0.06914433729210154	-0.02705710975897524	0.06080483120012445	4.3103264095024505
ACXMPD	0.32833013393088306	0.037957584354220975	-0.11932208065727948	0.022053630277684436	4.6850246440048515
ADAZUD	0.22719765606249442	-0.13510508885465347	0.069871575834423	0.011148431144983803	4.53680084078243
ADBPPD	0.21184406305814107	0.11144649844591048	0.015783883853165148	0.07394545317756643	4.191527398917468
ADEBAN	0.29067109950813474	0.08560717445062363	0.026427948373276777	0.06008676653286588	4.446176716914191
ADEBET	0.21945469075697677	-0.14619845503676368	0.04204412954229275	-0.013766292332008656	4.5220855025055045
ADEBUH	0.033217611536592084	0.0830100713860017	-0.12461661653201851	0.039167334388475056	3.905933435371864
